feature,VIF
pct_bachelors_plus,7.82258535467378
log_median_household_income,7.814658204878636
owner_occupied_rate,6.123080064485796
log_median_housing_value,5.676286753625182
pct_multifamily_units,5.39051472561592
pct_hispanic,3.1438858026942413
poverty_rate,2.8377954488221975
PV_system_size_DC,1.7937907659559693
storage_capacity_mw,1.6668127644757438
pct_mobile_home_units,1.6198543817043003
pct_asian,1.3952056937694708
log_kwh,1.2546326997745785
pct_black,1.15257917519614
pct_other_housing_units,1.1272730723364208
plant_capacity_mw,1.0912260941594423
